id  , nama_sekolah
674 , SMP AL AZHAR SYIFA BUDI CIBUBUR - CILEUNGSI
675 , SMP AL AZHAR SYIFABUDI CIBINONG
676 , SMP AL BAYAN ISLAMIC BOARDING SCHOOL
677 , SMP AL FAKHRIYAH CIAWI
678 , SMP AL FALAH TLAJUNG
679 , SMP AL FARISI TAPOS
680 , SMP AL GHAZALY BOGOR
681 , SMP AL HAYYAN
682 , SMP AL HIDAYAH
683 , SMP AL HUSNA
684 , SMP AL HUSNA PABUARAN
685 , SMP AL IHSAN
686 , SMP AL IKHLAS
687 , SMP AL IMAM ISLAMIC SCHOOL
688 , SMP AL KHOER
689 , SMP AL MADZHAB
690 , SMP AL MANSHURIYAH
691 , SMP AL MINHAJ
692 , SMP AL MINHAJ TAMANSARI
693 , SMP AL MIZAN
694 , SMP AL MUNIR
695 , SMP AL NUR
696 , SMP AL QURAN WAHDAH ISLAMIYAH CIBINONG-BOGOR
697 , SMP AL- FAATHIR
698 , SMP Al-AqSyar
699 , SMP AL-AWWALIYAH
700 , SMP AL-BASYARIAH
701 , SMP AL-FATAH
702 , SMP AL-IJTIHAD
703 , SMP AL-IRSYAD BOGOR
704 , SMP AL-KAUTSAR
705 , SMP AL-TAQWA COLLEGE INDONESIA
706 , SMP AL-WAFI ISLAMIC BOARDING SCHOOL
707 , SMP ALDEPOS BOARDING SCHOOL
708 , SMP ALGEBRA ISLAMIC BOARDING SCHOOL
709 , SMP ALQURAN DARUL FURQON
710 , SMP AMAL KASIH
711 , SMP AMAL MULIA
712 , SMP AMALIAH
713 , SMP AMANAH BANGSA
714 , SMP AMERTA
715 , SMP AN NAHL ISLAMIC SCHOOL
716 , SMP ANANDA
717 , SMP ANGKASA BOGOR
718 , SMP ANNURALIYYAH
719 , SMP AQILAH HIDAYAH
720 , SMP AQL ISLAMIC SCHOOL
721 , SMP AR-RASYID
722 , SMP ARROYAN
723 , SMP ARSYADA
724 , SMP AS SHOHEH SAMPORA
725 , SMP AS SYAROFAH ISLAMIC BOARDING SCHOOL
726 , SMP ASABA
727 , SMP ASH SHOHABAH
728 , SMP ASH SHOLIHIN
729 , SMP ASIA PASIFIC BOARDING SCHOOL
730 , SMP ASSIROJ PAMIJAHAN
731 , SMP ASSYUJAIYAH
732 , SMP ASY-SYIFA
733 , SMP AT TIIN
734 , SMP AVICENNA CILEUNGSI
735 , SMP BAGUS
736 , SMP BAHRUL ULUM
737 , SMP BANGUN NUSA BANGSA
738 , SMP BANI ABDILLAH ( AL BANA )
739 , SMP BANI HARUN
740 , SMP BANTARJATI
